iter	Logloss
0	0.6849494657
1	0.678312014
2	0.6730574621
3	0.6689781219
4	0.6648504085
5	0.6618336945
6	0.6592187618
7	0.657177743
8	0.6551097476
9	0.6536115444
10	0.6515813774
11	0.6504158975
12	0.6491791776
13	0.6478996927
14	0.6471163164
15	0.6462076484
16	0.6454624153
17	0.6445914537
18	0.6438510968
19	0.6432590148
20	0.6425327056
21	0.6418696907
22	0.6412291225
23	0.6407301821
24	0.6401839922
25	0.639756635
26	0.6391762759
27	0.638822338
28	0.6383671123
29	0.6380947802
30	0.6377192175
31	0.6372717054
32	0.6369273298
33	0.6365551502
34	0.6361247087
35	0.6357673134
36	0.6352617652
37	0.6349732837
38	0.6347987606
39	0.634435689
40	0.6341663119
41	0.6339210941
42	0.6337162319
43	0.6333643421
44	0.6331119549
45	0.6328745235
46	0.6326170176
47	0.6323633975
48	0.6321653502
49	0.6319865199
50	0.631747746
51	0.6315700661
52	0.6313125923
53	0.6310699052
54	0.6308855158
55	0.6306562393
56	0.6304417668
57	0.6302254325
58	0.6301085862
59	0.6299313756
60	0.6297156084
61	0.6295504645
62	0.6294206852
63	0.6292264201
64	0.6290949888
65	0.6288956777
66	0.6287114878
67	0.6285367617
68	0.6283624423
69	0.6281903617
70	0.6280574672
71	0.62795159
72	0.6278374716
73	0.6277296481
74	0.6273317091
75	0.6271929696
76	0.627069376
77	0.6269565273
78	0.6268215997
79	0.6266397937
80	0.6264992798
81	0.626357383
82	0.6262149598
83	0.6259599462
84	0.6258579913
85	0.6257232641
86	0.6256310695
87	0.6255465339
88	0.6254523303
89	0.6253354122
90	0.6252052655
91	0.6251172182
92	0.6250299016
93	0.624898756
94	0.6247851116
95	0.624673247
96	0.6244853199
97	0.6243855693
98	0.624295314
99	0.6241805403
