iter	Passed	Remaining
0	59	5857
1	119	5865
2	181	5852
3	235	5657
4	307	5844
5	422	6612
6	484	6440
7	542	6243
8	603	6099
9	667	6006
10	731	5915
11	788	5784
12	848	5677
13	909	5585
14	965	5472
15	1022	5369
16	1076	5254
17	1133	5163
18	1189	5071
19	1243	4975
20	1300	4892
21	1357	4813
22	1414	4733
23	1469	4652
24	1526	4580
25	1582	4503
26	1637	4427
27	1692	4352
28	1748	4281
29	1804	4209
30	1860	4141
31	1925	4091
32	1990	4041
33	2051	3981
34	2115	3929
35	2180	3876
36	2245	3822
37	2301	3754
38	2361	3693
39	2426	3639
40	2484	3575
41	2543	3512
42	2602	3449
43	2664	3390
44	2721	3325
45	2778	3261
46	2836	3198
47	2896	3137
48	2949	3070
49	3002	3002
50	3059	2939
51	3117	2878
52	3172	2813
53	3226	2748
54	3281	2684
55	3338	2622
56	3399	2564
57	3461	2506
58	3528	2452
59	3591	2394
60	3657	2338
61	3718	2279
62	3771	2214
63	3829	2153
64	3885	2092
65	3945	2032
66	4001	1971
67	4060	1910
68	4122	1852
69	4181	1792
70	4241	1732
71	4302	1673
72	4362	1613
73	4422	1553
74	4483	1494
75	4541	1434
76	4602	1374
77	4663	1315
78	4723	1255
79	4783	1195
80	4842	1135
81	4905	1076
82	4963	1016
83	5024	957
84	5084	897
85	5142	837
86	5200	777
87	5259	717
88	5318	657
89	5378	597
90	5438	537
91	5499	478
92	5559	418
93	5628	359
94	5700	300
95	5766	240
96	5828	180
97	5887	120
98	5948	60
99	6007	0
